"title"	"track_n"	"text"	"album"	"artist"
"265"	"Lost In the Supermarket"	8	"Guaranteed personality"	"London Calling"	"The Clash"
"266"	"Lost In the Supermarket"	8	"I wasn't born, so much as I fell out"	"London Calling"	"The Clash"
"267"	"Lost In the Supermarket"	8	"Nobody seemed to notice me"	"London Calling"	"The Clash"
"268"	"Lost In the Supermarket"	8	"We had a hedge back home in the suburbs"	"London Calling"	"The Clash"
"269"	"Lost In the Supermarket"	8	"Over which, I never could see"	"London Calling"	"The Clash"
"270"	"Lost In the Supermarket"	8	"I heard the people who live on the ceiling"	"London Calling"	"The Clash"
"271"	"Lost In the Supermarket"	8	"Scream and fight, most scarily"	"London Calling"	"The Clash"
"272"	"Lost In the Supermarket"	8	"Hearing that noise was my first ever feelin'"	"London Calling"	"The Clash"
"273"	"Lost In the Supermarket"	8	"That's how it's been, all around me"	"London Calling"	"The Clash"
"274"	"Lost In the Supermarket"	8	"(Chorus)"	"London Calling"	"The Clash"
"275"	"Lost In the Supermarket"	8	"I'm all tuned in, I see all the programs"	"London Calling"	"The Clash"
"276"	"Lost In the Supermarket"	8	"I save coupons from packets of tea"	"London Calling"	"The Clash"
"277"	"Lost In the Supermarket"	8	"I've got my giant hit, discotheque album"	"London Calling"	"The Clash"
"278"	"Lost In the Supermarket"	8	"I empty a bottle, I feel a bit free"	"London Calling"	"The Clash"
"279"	"Lost In the Supermarket"	8	"The kids in halls and the pipes in the walls"	"London Calling"	"The Clash"
"280"	"Lost In the Supermarket"	8	"Making noises for company"	"London Calling"	"The Clash"
"281"	"Lost In the Supermarket"	8	"Long distance callers make long distance calls"	"London Calling"	"The Clash"
"282"	"Lost In the Supermarket"	8	"And the silence makes me lonely"	"London Calling"	"The Clash"
"283"	"Lost In the Supermarket"	8	"(Chorus)"	"London Calling"	"The Clash"
"284"	"Lost In the Supermarket"	8	"And it's not here"	"London Calling"	"The Clash"
"285"	"Lost In the Supermarket"	8	"It disappeared"	"London Calling"	"The Clash"
"286"	"Lost In the Supermarket"	8	"(Chorus x5)"	"London Calling"	"The Clash"
"287"	"Lost In the Supermarket"	8	"I'm all lost"	"London Calling"	"The Clash"
"288"	"Lost In the Supermarket"	8	"(Chorus)"	"London Calling"	"The Clash"
"289"	"Clampdown"	9	"(The kingdom is ransacked"	"London Calling"	"The Clash"
"290"	"Clampdown"	9	"The jewels all taken back"	"London Calling"	"The Clash"
"291"	"Clampdown"	9	"And the chopper descends"	"London Calling"	"The Clash"
"292"	"Clampdown"	9	"They're hidden in the back"	"London Calling"	"The Clash"
"293"	"Clampdown"	9	"With a message on a half-baked tape"	"London Calling"	"The Clash"
